Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Manu Morlanes,es ESP,MF,24,35,16,1615.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,Mallorca
Toni Lato,es ESP,DF,25,28,16,1544.0,0.0,1.0,0.0,3.0,0.0,0.2,1.3,Mallorca
Abdón Prats,es ESP,"FW,MF",30,34,11,1270.0,6.0,1.0,0.0,4.0,0.0,3.2,2.4,Mallorca
Nacho Vidal,es ESP,DF,28,8,5,416.0,0.0,0.0,0.0,2.0,0.0,1.0,0.2,Mallorca
Nemanja Radonjić,rs SRB,"MF,DF",27,11,4,353.0,0.0,0.0,0.0,0.0,0.0,1.6,0.6,Mallorca
Siebe Van Der Heyden,be BEL,DF,25,6,4,286.0,0.0,0.0,0.0,2.0,1.0,0.2,0.0,Mallorca
Amath,sn SEN,"FW,MF",27,15,3,394.0,0.0,0.0,0.0,2.0,0.0,1.6,0.4,Mallorca
Javier Llabrés,es ESP,"MF,FW",20,16,1,247.0,1.0,0.0,0.0,1.0,0.0,0.7,0.3,Mallorca
Iván Cuéllar,es ESP,GK,39,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca
Dominik Greif,sk SVK,GK,26,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca
Marcos Fernández Cózar,,DF,20,0,0,,,,,,,,,Mallorca
Pere Joan,es ESP,GK,21,0,0,,,,,,,,,Mallorca
Yuzún Ley,es ESP,DF,19,0,0,,,,,,,,,Mallorca
David López,es ESP,DF,20,0,0,,,,,,,,,Mallorca
Daniel Luna,co COL,MF,20,0,0,,,,,,,,,Mallorca
Pau Mascaró,es ESP,FW,18,0,0,,,,,,,,,Mallorca
Miguelito,es ESP,DF,22,0,0,,,,,,,,,Mallorca
Alex Quevedo,es ESP,GK,19,0,0,,,,,,,,,Mallorca
Rubén Quintanilla,es ESP,MF,21,0,0,,,,,,,,,Mallorca
Squad Total,,,,38,418,3420.0,33.0,27.0,1.0,105.0,4.0,40.5,30.8,Mallorca
Álvaro Vallés,es ESP,GK,26,37,37,3263.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Las-Palmas
Kirian Rodríguez,es ESP,MF,27,37,36,3211.0,6.0,2.0,0.0,8.0,0.0,2.1,1.6,Las-Palmas
Mika Màrmol,es ESP,DF,21,36,36,3178.0,0.0,1.0,0.0,6.0,1.0,0.2,1.0,Las-Palmas
Munir El Haddadi,ma MAR,FW,27,38,32,2449.0,3.0,2.0,0.0,3.0,0.0,4.3,1.9,Las-Palmas
Sergi Cardona,es ESP,DF,24,35,30,2814.0,1.0,2.0,0.0,11.0,0.0,2.7,2.8,Las-Palmas
Javier Muñoz,es ESP,MF,28,37,30,2640.0,2.0,3.0,0.0,6.0,0.0,2.5,1.4,Las-Palmas
Álex Suárez,es ESP,DF,30,32,30,2562.0,2.0,0.0,0.0,7.0,0.0,1.2,0.2,Las-Palmas
Saúl Coco,gq EQG,DF,24,30,26,2295.0,1.0,0.0,0.0,6.0,1.0,1.1,0.0,Las-Palmas
Sandro Ramírez,es ESP,FW,28,27,21,1808.0,1.0,3.0,0.0,3.0,0.0,3.7,2.6,Las-Palmas
Alberto Moleiro,es ESP,"FW,MF",19,28,21,1803.0,3.0,3.0,0.0,1.0,0.0,2.0,2.7,Las-Palmas
Máximo Perrone,ar ARG,MF,20,29,20,1623.0,0.0,0.0,0.0,6.0,0.0,0.2,0.5,Las-Palmas
Enzo Loiodice,fr FRA,MF,22,34,19,1790.0,0.0,1.0,0.0,2.0,0.0,0.5,1.3,Las-Palmas
Marvin,es ESP,"FW,DF",23,31,17,1855.0,0.0,2.0,0.0,5.0,0.0,0.9,2.5,Las-Palmas
Julian Araujo,mx MEX,DF,21,25,15,1462.0,1.0,0.0,0.0,5.0,0.0,0.7,1.2,Las-Palmas
Sory Kaba,gn GUI,FW,28,17,9,720.0,1.0,1.0,0.0,2.0,0.0,1.5,0.3,Las-Palmas
Jonathan Viera,es ESP,"MF,FW",33,9,7,617.0,2.0,1.0,2.0,1.0,0.0,2.3,1.0,Las-Palmas
Marc Cardona,es ESP,FW,28,25,6,723.0,4.0,1.0,1.0,4.0,0.0,4.2,1.1,Las-Palmas
Francisco Jesús Crespo García,es ESP,FW,27,17,6,504.0,2.0,0.0,0.0,1.0,0.0,1.3,0.6,Las-Palmas
Daley Sinkgraven,nl NED,DF,28,11,6,388.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Las-Palmas
Juan Herzog,es ESP,DF,20,4,3,292.0,2.0,0.0,0.0,1.0,0.0,0.7,0.0,Las-Palmas
Álvaro Lemos,es ESP,DF,30,4,3,251.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Las-Palmas
Benito Ramírez,es ESP,"FW,MF",28,20,2,384.0,1.0,1.0,0.0,0.0,0.0,0.4,0.5,Las-Palmas
José Campaña,es ESP,MF,30,8,1,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las-Palmas
Cristian Herrera,es ESP,"FW,MF",32,8,1,166.0,1.0,0.0,0.0,1.0,0.0,0.9,0.0,Las-Palmas
Aarón Escandell,es ESP,GK,27,2,1,153.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Las-Palmas
Fabio González,es ESP,MF,26,6,1,123.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Las-Palmas
Eric Curbelo,es ESP,"DF,MF",29,2,1,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las-Palmas
Omenuke Mfulu,cd COD,"MF,FW",29,5,1,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Las-Palmas
Iñaki González,es ESP,MF,19,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las-Palmas
Pau Ferrer,es ESP,FW,19,0,0,,,,,,,,,Las-Palmas
Ale Gorrin,es ESP,GK,20,0,0,,,,,,,,,Las-Palmas
Álvaro Killane,es ESP,GK,18,0,0,,,,,,,,,Las-Palmas
Squad Total,,,,38,418,3420.0,33.0,23.0,3.0,84.0,5.0,33.2,23.3,Las-Palmas
Stole Dimitrievski,mk MKD,GK,29,37,37,3330.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,Rayo-Vallecano
Florian Lejeune,fr FRA,DF,32,37,37,3327.0,3.0,1.0,0.0,5.0,0.0,3.3,0.7,Rayo-Vallecano
Isaac Palazón Camacho,es ESP,"MF,FW",28,37,34,2791.0,4.0,1.0,2.0,8.0,0.0,5.9,1.9,Rayo-Vallecano
Iván Balliu,al ALB,DF,31,33,32,2873.0,0.0,1.0,0.0,4.0,0.0,0.7,2.6,Rayo-Vallecano
Óscar Valentín,es ESP,MF,28,34,32,2692.0,1.0,0.0,0.0,7.0,1.0,1.7,0.6,Rayo-Vallecano
Álvaro García,es ESP,"FW,MF",30,32,30,2475.0,6.0,1.0,0.0,8.0,1.0,6.2,3.0,Rayo-Vallecano
Alfonso Espino,uy URU,DF,31,31,29,2507.0,0.0,1.0,0.0,9.0,0.0,1.0,2.8,Rayo-Vallecano
Unai López,es ESP,MF,27,35,28,2108.0,1.0,2.0,0.0,8.0,0.0,1.1,2.5,Rayo-Vallecano
Sergio Camello,es ESP,FW,22,31,20,1661.0,3.0,1.0,0.0,3.0,0.0,4.5,1.3,Rayo-Vallecano
Abdul Mumin,gh GHA,DF,25,20,19,1694.0,1.0,0.0,0.0,5.0,1.0,0.4,0.3,Rayo-Vallecano
Aridane Hernández,es ESP,DF,34,19,19,1690.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,Rayo-Vallecano
Óscar Trejo,ar ARG,"FW,MF",35,31,19,1380.0,0.0,0.0,0.0,4.0,1.0,0.9,1.3,Rayo-Vallecano
Pathé Ciss,sn SEN,MF,29,31,16,1664.0,1.0,0.0,0.0,10.0,0.0,1.5,0.5,Rayo-Vallecano
Raúl de Tomás,es ESP,FW,28,25,15,1272.0,1.0,2.0,1.0,5.0,0.0,3.4,1.3,Rayo-Vallecano
Jorge de Frutos,es ESP,"FW,MF",26,36,14,1549.0,2.0,0.0,0.0,1.0,0.0,2.6,1.4,Rayo-Vallecano
Pep Chavarría,es ESP,"DF,MF",25,22,12,1167.0,1.0,1.0,0.0,6.0,1.0,1.0,0.7,Rayo-Vallecano
Kike Pérez,es ESP,"MF,FW",26,24,9,835.0,1.0,0.0,0.0,7.0,0.0,1.9,0.6,Rayo-Vallecano
Andrei Ratiu,ro ROU,"DF,MF",25,12,6,630.0,0.0,0.0,0.0,1.0,0.0,0.3,0.6,Rayo-Vallecano
Crespo,pt POR,MF,26,15,4,527.0,0.0,0.0,0.0,4.0,0.0,0.1,1.0,Rayo-Vallecano
Randy Nteka,ao ANG,"FW,MF",25,16,3,572.0,1.0,1.0,1.0,3.0,0.0,2.3,0.9,Rayo-Vallecano
Radamel Falcao,co COL,"FW,DF",37,22,2,407.0,1.0,0.0,1.0,4.0,0.0,2.7,0.3,Rayo-Vallecano
Cárdenas,es ESP,GK,26,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rayo-Vallecano
Bebé,cv CPV,"MF,FW",33,19,0,212.0,2.0,0.0,1.0,1.0,0.0,1.4,0.2,Rayo-Vallecano
Salvi,es ESP,MF,32,1,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rayo-Vallecano
José Pozo,es ESP,MF,27,2,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rayo-Vallecano
Diego Méndez,es ESP,MF,19,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rayo-Vallecano
Jorge Moreno,es ESP,DF,22,0,0,,,,,,,,,Rayo-Vallecano
Morro,es ESP,GK,22,0,0,,,,,,,,,Rayo-Vallecano
Pablo Muñoz,es ESP,MF,19,0,0,,,,,,,,,Rayo-Vallecano
Martín Pascual,es ESP,DF,23,0,0,,,,,,,,,Rayo-Vallecano
Squad Total,,,,38,418,3420.0,29.0,12.0,6.0,108.0,5.0,42.3,24.6,Rayo-Vallecano
Rubén Alcaraz,es ESP,MF,32,36,36,3134.0,3.0,1.0,2.0,14.0,0.0,3.3,1.4,Cadiz
Jeremías Ledesma,ar ARG,GK,30,34,34,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Cadiz
Chris Ramos,es ESP,"FW,MF",26,37,30,2612.0,5.0,1.0,0.0,5.0,0.0,10.1,1.7,Cadiz
Fali,es ESP,DF,29,30,30,2547.0,0.0,0.0,0.0,12.0,0.0,0.8,0.1,Cadiz
Isaac Carcelen,es ESP,DF,30,35,29,2611.0,0.0,0.0,0.0,2.0,0.0,0.6,1.0,Cadiz
Javi Hernández,es ESP,DF,25,30,28,2514.0,1.0,2.0,0.0,10.0,0.0,1.4,2.1,Cadiz
Roberto Navarro,es ESP,"MF,FW",21,28,24,1888.0,1.0,1.0,0.0,0.0,1.0,2.1,3.1,Cadiz
Víctor Chust,es ESP,DF,23,22,22,1864.0,0.0,1.0,0.0,3.0,2.0,0.3,0.3,Cadiz
Iván Alejo,es ESP,MF,28,30,21,1692.0,0.0,2.0,0.0,17.0,0.0,0.5,1.3,Cadiz
Gonzalo Escalante,ar ARG,MF,30,25,18,1697.0,1.0,2.0,0.0,2.0,1.0,1.9,1.7,Cadiz
Rubén Sobrino,es ESP,"MF,FW",31,32,18,1646.0,0.0,1.0,0.0,8.0,1.0,1.8,2.3,Cadiz
Roger Martí,es ESP,FW,32,23,18,1359.0,2.0,3.0,0.0,3.0,0.0,2.8,2.9,Cadiz
Lucas,br BRA,DF,22,28,15,1539.0,1.0,0.0,0.0,6.0,0.0,0.8,1.9,Cadiz
Álex Fernández,es ESP,MF,30,26,14,1285.0,0.0,1.0,0.0,3.0,0.0,0.3,0.8,Cadiz
Maxi Gómez,uy URU,FW,26,31,12,1163.0,0.0,0.0,0.0,2.0,0.0,1.6,0.6,Cadiz
Darwin Machís,ve VEN,MF,30,21,10,785.0,4.0,0.0,1.0,0.0,1.0,1.4,0.7,Cadiz
Juanmi,es ESP,FW,30,16,9,873.0,3.0,1.0,0.0,3.0,0.0,2.5,1.6,Cadiz
Rominigue Kouamé,ml MLI,MF,26,16,9,821.0,0.0,0.0,0.0,2.0,0.0,0.3,0.1,Cadiz
Joseba Zaldúa,es ESP,DF,31,13,9,704.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,Cadiz
Luis Hernández,es ESP,DF,34,9,8,723.0,1.0,0.0,0.0,4.0,0.0,1.0,0.4,Cadiz
Jorge Meré,es ESP,DF,26,10,8,673.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Cadiz
Aiham Ousou,sy SYR,DF,23,6,5,430.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Cadiz
David Gil,es ESP,GK,29,5,4,372.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Cadiz
Fede San Emeterio,es ESP,MF,26,4,3,152.0,1.0,0.0,0.0,1.0,1.0,0.1,0.1,Cadiz
Mamadou Mbaye,sn SEN,DF,25,4,2,288.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,Cadiz
Sergi Guardiola,es ESP,"FW,MF",32,22,1,495.0,1.0,1.0,0.0,1.0,0.0,1.8,0.8,Cadiz
Brian Ocampo,uy URU,"MF,FW",24,13,1,248.0,1.0,0.0,0.0,2.0,0.0,0.3,0.1,Cadiz
Diadie Samassékou,ml MLI,MF,27,4,0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cadiz
Álvaro Negredo,es ESP,"FW,MF",37,7,0,54.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Cadiz
Karl Etta,cm CMR,FW,19,1,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cadiz
José Mari,es ESP,"MF,FW",35,3,0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Cadiz
Milutin Osmajić,me MNE,MF,24,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Cadiz
Borja Vázquez,es ESP,FW,18,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Cadiz
Moussa Diakité,ml MLI,MF,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cadiz
Nando Almodóvar,es ESP,GK,19,0,0,,,,,,,,,Cadiz
José Antonio,es ESP,FW,19,0,0,,,,,,,,,Cadiz
Álvaro Bastida,es ESP,MF,19,0,0,,,,,,,,,Cadiz
Alejandro Morata,es ESP,DF,17,0,0,,,,,,,,,Cadiz
Aristide Njalla,cm CMR,MF,20,0,0,,,,,,,,,Cadiz
Victor Wehbi,br BRA,GK,20,0,0,,,,,,,,,Cadiz
Squad Total,,,,38,418,3420.0,25.0,17.0,3.0,107.0,7.0,36.0,25.2,Cadiz
Luís Maximiano,pt POR,GK,24,33,33,2970.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Almeria
Édgar González,es ESP,"DF,MF",26,31,30,2522.0,2.0,0.0,0.0,7.0,1.0,2.3,0.3,Almeria
Adri Embarba,es ESP,"FW,MF",31,36,29,2476.0,3.0,2.0,1.0,5.0,0.0,4.3,4.4,Almeria
Lucas Robertone,ar ARG,MF,26,33,29,2381.0,0.0,5.0,0.0,11.0,0.0,1.0,2.5,Almeria
Juan Brandáriz,es ESP,DF,24,31,26,2434.0,0.0,1.0,0.0,4.0,0.0,1.0,1.4,Almeria
Dion Lopy,sn SEN,MF,21,30,23,1916.0,0.0,0.0,0.0,5.0,0.0,1.3,1.2,Almeria
Sergio Arribas,es ESP,"MF,FW",21,34,22,2047.0,9.0,4.0,0.0,1.0,0.0,8.6,3.7,Almeria
Pubill,es ESP,DF,20,23,22,1883.0,1.0,3.0,0.0,2.0,0.0,0.7,1.5,Almeria
Léo Baptistão,br BRA,FW,30,32,22,1837.0,6.0,0.0,0.0,6.0,1.0,5.3,1.8,Almeria
César Montes,mx MEX,DF,26,21,21,1788.0,0.0,0.0,0.0,5.0,0.0,0.7,0.2,Almeria
Sergio Akieme,es ESP,DF,25,19,19,1675.0,2.0,0.0,0.0,2.0,0.0,1.2,2.2,Almeria
Largie Ramazani,be BEL,"FW,MF",22,29,16,1555.0,3.0,5.0,0.0,11.0,2.0,4.7,5.7,Almeria
Iddrisu Baba,gh GHA,MF,27,25,14,1430.0,0.0,0.0,0.0,5.0,0.0,0.7,0.6,Almeria
Jonathan Viera,es ESP,MF,33,12,12,912.0,0.0,3.0,0.0,3.0,1.0,1.3,2.7,Almeria
Álex Centelles,es ESP,DF,25,14,11,980.0,0.0,1.0,0.0,2.0,0.0,0.0,1.6,Almeria
Gonzalo Melero,es ESP,"MF,FW",29,28,10,1103.0,1.0,1.0,0.0,3.0,0.0,2.0,1.2,Almeria
Luis Javier Suárez,co COL,FW,25,15,10,917.0,6.0,0.0,1.0,3.0,0.0,6.5,0.6,Almeria
Anthony Lozano,hn HON,FW,30,13,10,772.0,3.0,0.0,0.0,1.0,0.0,3.3,0.7,Almeria
Alejandro Pozo Pozo,es ESP,"DF,MF",24,21,9,976.0,0.0,0.0,0.0,3.0,0.0,0.4,0.6,Almeria
Bruno Langa,mz MOZ,DF,25,11,9,820.0,1.0,0.0,0.0,1.0,1.0,0.2,0.4,Almeria
Aleksandar Radovanović,rs SRB,DF,29,9,8,569.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Almeria
Kaiky,br BRA,DF,19,8,5,523.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0,Almeria
Luka Romero,ar ARG,FW,18,13,5,438.0,3.0,0.0,0.0,2.0,0.0,1.3,0.1,Almeria
Marcos Peña,es ESP,MF,18,7,4,441.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,Almeria
Houboulang Mendes,gw GNB,DF,25,7,4,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria
Fernando,es ESP,GK,33,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria
Arnau Puigmal,es ESP,"FW,DF",22,11,3,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3,Almeria
Marko Milovanović,rs SRB,"FW,MF",19,11,2,308.0,1.0,0.0,0.0,0.0,0.0,1.5,0.1,Almeria
Lázaro,br BRA,"FW,MF",21,14,2,285.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,Almeria
Ibrahima Koné,ml MLI,FW,24,9,2,277.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,Almeria
Srđan Babić,rs SRB,DF,27,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria
Diego Mariño,es ESP,GK,33,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria
Marciano Tchami,gw GNB,"FW,MF",19,6,0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria
Paco Sanz,es ESP,DF,18,1,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria
Rachad Fettal,ma MAR,FW,18,1,0,17.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Almeria
Arvin Appiah,eng ENG,"FW,MF",22,0,0,,,,,,,,,Almeria
Gui Guedes,pt POR,MF,21,0,0,,,,,,,,,Almeria
Bruno Iribarne,es ESP,GK,18,0,0,,,,,,,,,Almeria
Martin Šviderský,sk SVK,MF,20,0,0,,,,,,,,,Almeria
Squad Total,,,,38,418,3420.0,42.0,25.0,2.0,93.0,6.0,48.7,34.2,Almeria
Carlos Neva,es ESP,DF,27,36,36,3146.0,0.0,2.0,0.0,4.0,0.0,0.1,3.2,Granada
Ignasi Miquel,es ESP,DF,30,34,33,2992.0,1.0,1.0,0.0,5.0,0.0,1.4,1.2,Granada
Gerard Gumbau,es ESP,MF,28,35,31,2674.0,0.0,3.0,0.0,12.0,0.0,1.8,4.0,Granada
Lucas Boyé,ar ARG,FW,27,31,30,2541.0,6.0,3.0,0.0,8.0,1.0,6.2,2.8,Granada
Sergio Ruiz,es ESP,MF,28,35,30,2494.0,0.0,4.0,0.0,9.0,0.0,0.7,1.3,Granada
Myrto Uzuni,al ALB,FW,28,34,28,2448.0,11.0,1.0,4.0,3.0,0.0,12.9,2.6,Granada
Ricard Sánchez,es ESP,DF,23,33,25,2295.0,3.0,0.0,0.0,8.0,0.0,1.0,1.9,Granada
Gonzalo Villar,es ESP,MF,25,35,21,1803.0,1.0,3.0,0.0,7.0,0.0,1.9,2.2,Granada
Bryan Zaragoza,es ESP,"MF,FW",22,21,18,1638.0,6.0,2.0,1.0,5.0,0.0,3.8,3.3,Granada
Miguel Ángel Rubio,es ESP,DF,25,19,17,1560.0,1.0,0.0,0.0,5.0,0.0,0.8,0.1,Granada
Augusto Batalla,ar ARG,GK,27,17,17,1530.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Granada
Bruno Méndez,uy URU,DF,23,17,15,1333.0,2.0,0.0,0.0,4.0,0.0,0.6,0.1,Granada
Óscar Melendo,es ESP,"MF,FW",25,26,15,1122.0,0.0,0.0,0.0,2.0,0.0,0.4,0.5,Granada
André Ferreira,pt POR,GK,27,15,14,1340.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Granada
Raúl Torrente,es ESP,DF,21,17,14,1250.0,0.0,0.0,0.0,4.0,0.0,0.2,0.4,Granada
Facundo Pellistri,uy URU,"MF,FW",21,15,14,1232.0,2.0,1.0,0.0,2.0,1.0,2.5,1.2,Granada
José Callejón,es ESP,"MF,FW",36,25,7,803.0,0.0,1.0,0.0,2.0,0.0,1.3,1.5,Granada
Kamil Jóźwiak,pl POL,MF,25,11,7,571.0,0.0,1.0,0.0,2.0,0.0,0.1,1.2,Granada
Antonio Puertas,es ESP,"MF,FW",31,27,6,730.0,0.0,2.0,0.0,3.0,1.0,3.2,0.6,Granada
Martin Hongla,cm CMR,"MF,DF",25,13,6,562.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Granada
Kamil Piątkowski,pl POL,DF,23,9,6,505.0,0.0,0.0,0.0,1.0,1.0,0.8,0.1,Granada
Álvaro Carreras,es ESP,"MF,FW",20,13,5,475.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,Granada
Raúl Fernández,es ESP,GK,35,4,4,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Matias Arezo,uy URU,FW,20,14,3,369.0,0.0,0.0,0.0,1.0,0.0,1.2,0.1,Granada
Marc Martínez,es ESP,GK,33,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Wilson Manafá,pt POR,"DF,MF",29,4,3,240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,Granada
Faitout Maouassa,fr FRA,"DF,MF",25,6,2,229.0,0.0,1.0,0.0,0.0,0.0,0.2,0.5,Granada
Theo Corbeanu,ca CAN,"MF,FW",21,9,2,182.0,1.0,0.0,0.0,2.0,0.0,0.3,0.0,Granada
Víctor Díaz,es ESP,"DF,MF",35,4,2,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Granada
Sergio Rodelas,es ESP,"FW,DF",18,3,2,122.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1,Granada
Jesús Vallejo,es ESP,DF,26,3,1,108.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Granada
Samuel Omorodion,es ESP,FW,19,1,1,80.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,Granada
Njegoš Petrović,rs SRB,"MF,FW",24,10,0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Granada
Famara Diedhiou,sn SEN,"FW,MF",30,8,0,89.0,0.0,1.0,0.0,1.0,0.0,0.5,0.2,Granada
Shon Weissman,il ISR,FW,27,5,0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Brau,es ESP,DF,21,1,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Adri Bosch,es ESP,DF,22,1,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Pablo Saenz,,MF,,1,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Alberto Soro,es ESP,MF,24,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada
Alberto Perea,es ESP,"MF,FW",32,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Granada
Fran Árbol,es ESP,GK,17,0,0,,,,,,,,,Granada
Eghosa Bello,ng NGA,FW,19,0,0,,,,,,,,,Granada
Mario González,es ESP,MF,19,0,0,,,,,,,,,Granada
Adrián López,es ESP,GK,24,0,0,,,,,,,,,Granada
Lassina Sangare,ci CIV,MF,21,0,0,,,,,,,,,Granada
Pol Tristán,es ESP,GK,21,0,0,,,,,,,,,Granada
Squad Total,,,,38,418,3420.0,35.0,27.0,5.0,98.0,4.0,42.6,31.1,Granada
